model,input_output,seq_len,pred_len,MAE,MSE,RMSE,MAPE,MSPE
Informer,96->192,96,192,0.18961206078529358,0.06910435855388641,0.26287707686424255,2.1908304691314697,12518.341796875
SegRNN,96->192,96,192,0.25343549251556396,0.13803493976593018,0.37153053283691406,2.6819353103637695,13180.556640625
PatchTST,96->192,96,192,0.27580276131629944,0.1685778945684433,0.41058239340782166,2.7658615112304688,10227.35546875
Informer,96->336,96,336,0.20522037148475647,0.08225752413272858,0.2868057191371918,2.153209686279297,12576.4130859375
SegRNN,96->336,96,336,0.25185346603393555,0.13043145835399628,0.3611529469490051,2.6987459659576416,12486.84765625
PatchTST,96->336,96,336,0.26450100541114807,0.14648394286632538,0.38273221254348755,2.7165422439575195,9916.044921875
Informer,96->720,96,720,0.26600080728530884,0.13638435304164886,0.36930251121520996,2.939173698425293,14216.4599609375
SegRNN,96->720,96,720,0.3190056085586548,0.20293055474758148,0.45047813653945923,3.389185667037964,16439.958984375
PatchTST,96->720,96,720,0.3320317268371582,0.22327901422977448,0.47252407670021057,3.377788782119751,12705.453125
Informer,96->96,96,96,0.15172676742076874,0.04477470740675926,0.21160034835338593,1.6826735734939575,7274.908203125
SegRNN,96->96,96,96,0.2077733427286148,0.09755387157201767,0.31233614683151245,2.231576442718506,9454.8916015625
PatchTST,96->96,96,96,0.23160791397094727,0.11497087776660919,0.3390735685825348,2.5308806896209717,12615.2958984375
